;Model1;Model2;Model3;Model4;
Mutant1;OCL2 ;OCL2 ;OCL2 ;OCL2 ;
Mutant2;;;OCL1 OCL11 OCL12 ;;
Mutant3;OCL3 ;OCL3 ;OCL3 ;OCL3 ;
Mutant4;;;OCL9 ;;
Mutant5;;;;;
Mutant6;OCL1 ;OCL1 ;OCL1 ;OCL1 ;
Mutant7;;;OCL5 ;;
Mutant8;;;OCL7 ;;
Mutant9;;OCL11 OCL12 OCL13 ;OCL11 OCL12 ;OCL11 OCL12 OCL13 ;
Mutant10;;;OCL5 ;;
Mutant11;OCL3 ;;OCL3 ;OCL2 OCL3 ;
Mutant12;OCL9 ;;OCL9 ;OCL9 ;
Mutant13;;;;;
Mutant14;;;OCL5 OCL7 OCL9 ;;
Mutant15;;;OCL7 ;;
Mutant16;OCL3 ;OCL3 ;OCL3 ;OCL3 ;
Mutant17;OCL3 ;;OCL1 OCL3 OCL11 OCL12 ;OCL2 OCL3 ;
Mutant18;OCL1 ;OCL1 ;OCL1 ;OCL1 ;
Mutant19;OCL11 OCL12 OCL13 ;OCL11 OCL12 OCL13 ;OCL11 OCL12 ;OCL11 OCL12 OCL13 ;
Mutant20;;;;OCL11 OCL12 ;
Mutant21;OCL5 OCL7 OCL9 OCL11 OCL12 OCL13 ;OCL5 OCL7 OCL9 OCL11 OCL12 OCL13 ;OCL5 OCL7 OCL9 OCL11 OCL12 ;OCL5 OCL7 OCL9 OCL11 OCL12 OCL13 ;
Mutant22;;;;;
Mutant23;OCL1 OCL2 ;OCL1 OCL2 ;OCL1 OCL2 ;OCL1 OCL2 ;
