;Model1;Model2;Model3;Model4;
Mutant1;OCL8 ;OCL8 OCL17 ;OCL8 ;OCL8 OCL17 ;
Mutant2;OCL15 ;OCL15 OCL17 ;OCL15 ;OCL15 OCL17 ;
Mutant3;;OCL10 OCL11 OCL17 ;;OCL10 OCL11 OCL17 ;
Mutant4;OCL16 ;OCL16 OCL17 ;OCL16 ;OCL16 OCL17 ;
Mutant5;;OCL17 ;;OCL17 ;
Mutant6;OCL17 ;OCL17 ;OCL17 ;OCL17 ;
Mutant7;OCL12 OCL13 OCL14 OCL15 OCL17 ;OCL12 OCL13 OCL14 OCL15 OCL17 ;OCL12 OCL13 OCL14 OCL15 OCL17 ;OCL12 OCL13 OCL14 OCL15 OCL17 ;
Mutant8;OCL4 OCL5 OCL8 OCL9 ;OCL4 OCL5 OCL6 OCL7 OCL8 OCL9 OCL10 OCL11 OCL17 ;OCL4 OCL5 OCL8 OCL9 ;OCL4 OCL5 OCL6 OCL7 OCL8 OCL9 OCL10 OCL11 OCL17 ;
Mutant9;;OCL6 OCL7 OCL10 OCL11 OCL13 ;;OCL6 OCL7 OCL10 OCL11 OCL13 ;
Mutant10;;OCL7 OCL10 OCL13 OCL17 ;;OCL7 OCL10 OCL13 OCL17 ;
Mutant11;OCL16 ;OCL16 OCL17 ;;OCL16 OCL17 ;
Mutant12;OCL1 OCL2 OCL3 OCL4 OCL5 OCL8 OCL9 OCL12 OCL14 OCL17 ;OCL1 OCL2 OCL3 OCL4 OCL5 OCL6 OCL7 OCL8 OCL9 OCL10 OCL11 OCL12 OCL13 OCL14 OCL17 ;OCL1 OCL2 OCL3 OCL4 OCL5 OCL8 OCL9 OCL12 OCL14 OCL17 ;OCL1 OCL2 OCL3 OCL4 OCL5 OCL6 OCL7 OCL8 OCL9 OCL10 OCL11 OCL12 OCL13 OCL14 OCL17 ;
Mutant13;OCL4 OCL5 OCL8 OCL9 OCL12 OCL14 ;OCL4 OCL5 OCL8 OCL9 OCL12 OCL14 OCL17 ;OCL4 OCL5 OCL8 OCL9 OCL12 OCL14 ;OCL4 OCL5 OCL8 OCL9 OCL12 OCL14 OCL17 ;
Mutant14;;OCL12 OCL14 OCL15 OCL17 ;;OCL12 OCL14 OCL15 OCL17 ;
Mutant15;OCL5 OCL9 OCL14 OCL17 ;OCL5 OCL9 OCL14 OCL17 ;OCL5 OCL9 OCL14 OCL17 ;OCL5 OCL9 OCL14 OCL17 ;
Mutant16;OCL16 ;OCL16 OCL17 ;OCL16 ;OCL16 OCL17 ;
Mutant17;;OCL17 ;;OCL17 ;
Mutant18;;OCL17 ;;OCL17 ;
Mutant19;OCL14 OCL15 ;OCL14 OCL15 OCL17 ;OCL14 OCL15 ;OCL14 OCL15 OCL17 ;
Mutant20;;OCL14 OCL15 OCL17 ;;OCL14 OCL15 OCL17 ;
Mutant21;;OCL6 OCL7 OCL17 ;;OCL6 OCL7 OCL17 ;
Mutant22;;OCL17 ;;OCL17 ;
Mutant23;;OCL17 ;;OCL17 ;
Mutant24;OCL8 ;OCL6 OCL7 OCL8 OCL17 ;OCL8 ;OCL6 OCL7 OCL8 OCL17 ;
